gamma,rho_autolyap,rho_theory
0.050000000000,0.907029451108,0.907029478458
0.100000000000,0.826446251639,0.826446280992
0.150000000000,0.756143646315,0.756143667297
0.200000000000,0.694444427815,0.694444444444
0.250000000000,0.639999985813,0.640000000000
0.300000000000,0.591715963596,0.591715976331
0.350000000000,0.548696833896,0.548696844993
0.400000000000,0.510204071181,0.510204081633
0.450000000000,0.475624242809,0.475624256837
0.500000000000,0.444444433831,0.444444444444
0.550000000000,0.416233065422,0.416233090531
0.600000000000,0.390624985417,0.390625000000
0.650000000000,0.367309440744,0.367309458219
0.700000000000,0.346020746984,0.346020761246
0.750000000000,0.326530591031,0.326530612245
0.800000000000,0.308641955146,0.308641975309
0.850000000000,0.292184054649,0.292184075968
0.900000000000,0.277008283877,0.277008310249
0.950000000000,0.262984848890,0.262984878369
1.000000000000,0.249999978244,0.250000000000
1.050000000000,0.237953569427,0.237953599048
1.100000000000,0.226757339836,0.226757369615
1.150000000000,0.216333120922,0.216333153056
1.200000000000,0.206611551363,0.206611570248
1.250000000000,0.197530835806,0.197530864198
1.300000000000,0.189035890207,0.189035916824
1.350000000000,0.181077391959,0.181077410593
1.400000000000,0.173611087535,0.173611111111
1.450000000000,0.166597233686,0.166597251145
1.500000000000,0.159999985336,0.160000000000
1.550000000000,0.153786986478,0.153787004998
1.600000000000,0.147928969016,0.147928994083
1.650000000000,0.142399397671,0.142399430402
1.700000000000,0.137174169991,0.137174211248
1.750000000000,0.132231374148,0.132231404959
1.800000000000,0.127550993479,0.127551020408
1.850000000000,0.123114764649,0.123114804555
1.900000000000,0.118906045333,0.118906064209
1.950000000000,0.114909475551,0.114909508762
2.000000000000,0.111111084076,0.111111111111
2.050000000000,0.107497960153,0.107497984413
2.100000000000,0.104058245255,0.104058272633
2.150000000000,0.100781010748,0.100781053162
2.200000000000,0.097656227726,0.097656250000
2.250000000000,0.094674529552,0.094674556213
2.300000000000,0.091827330166,0.091827364555
2.350000000000,0.089106662167,0.089106705280
2.400000000000,0.086505146683,0.086505190311
2.450000000000,0.084015932533,0.084015963033
2.500000000000,0.081632602960,0.081632653061
2.550000000000,0.079349302277,0.079349335449
2.600000000000,0.077160453721,0.077160493827
2.650000000000,0.075060937087,0.075060987052
2.700000000000,0.073045968602,0.073046018992
2.750000000000,0.071111058640,0.071111111111
2.800000000000,0.069252014025,0.069252077562
2.850000000000,0.067464939952,0.067465002530
2.900000000000,0.065746143460,0.065746219592
2.950000000000,0.064092228806,0.064092292902
3.000000000000,0.062499944122,0.062500000000
3.050000000000,0.060966255699,0.060966316110
3.100000000000,0.059488325787,0.059488399762
3.150000000000,0.058063506777,0.058063579620
3.200000000000,0.056689268622,0.056689342404
3.250000000000,0.055363249280,0.055363321799
3.300000000000,0.054083209332,0.054083288264
3.350000000000,0.052847049941,0.052847139649
3.400000000000,0.051652781665,0.051652892562
3.450000000000,0.050498620791,0.050498674410
3.500000000000,0.049382643698,0.049382716049
3.550000000000,0.048303292449,0.048303345007
3.600000000000,0.047258950771,0.047258979206
3.650000000000,0.046248075862,0.046248121170
3.700000000000,0.045269303651,0.045269352648
3.750000000000,0.044321309208,0.044321329640
3.800000000000,0.043402758207,0.043402777778
3.850000000000,0.042512474152,0.042512488043
3.900000000000,0.041649296878,0.041649312786
3.950000000000,0.040812147514,0.040812162024
4.000000000000,0.039999984894,0.040000000000
4.050000000000,0.039211832004,0.039211841976
4.100000000000,0.038446735529,0.038446751250
4.150000000000,0.037703822905,0.037703836365
4.200000000000,0.036982224091,0.036982248521
4.250000000000,0.036281155964,0.036281179138
4.300000000000,0.035599841272,0.035599857601
4.350000000000,0.034937533499,0.034937549131
4.400000000000,0.034293539876,0.034293552812
4.450000000000,0.033667184113,0.033667199731
4.500000000000,0.033057840556,0.033057851240
4.550000000000,0.032464883990,0.032464897330
4.600000000000,0.031887741528,0.031887755102
4.650000000000,0.031325851734,0.031325867335
4.700000000000,0.030778685458,0.030778701139
4.750000000000,0.030245733053,0.030245746692
4.800000000000,0.029726504058,0.029726516052
4.850000000000,0.029220521443,0.029220542041
4.900000000000,0.028727367579,0.028727377190
4.950000000000,0.028246574096,0.028246592755
5.000000000000,0.027777759242,0.027777777778
