tau,theta,rho
0.500000000000,0.000000000000,0.966796875000
0.512626262626,0.000000000000,0.965820312500
0.525252525253,0.000000000000,0.964843750000
0.537878787879,0.000000000000,0.963867187500
0.550505050505,0.000000000000,0.962890625000
0.563131313131,0.000000000000,0.961914062500
0.575757575758,0.000000000000,0.961914062500
0.588383838384,0.000000000000,0.960937500000
0.601010101010,0.000000000000,0.959960937500
0.613636363636,0.000000000000,0.958984375000
0.626262626263,0.000000000000,0.958007812500
0.638888888889,0.000000000000,0.957031250000
0.651515151515,0.000000000000,0.956054687500
0.664141414141,0.000000000000,0.956054687500
0.676767676768,0.000000000000,0.955078125000
0.689393939394,0.000000000000,0.954101562500
0.702020202020,0.000000000000,0.953125000000
0.714646464646,0.000000000000,0.952148437500
0.727272727273,0.000000000000,0.951171875000
0.739898989899,0.000000000000,0.951171875000
0.752525252525,0.000000000000,0.950195312500
0.765151515152,0.000000000000,0.949218750000
0.777777777778,0.000000000000,0.949218750000
0.790404040404,0.000000000000,0.948242187500
0.803030303030,0.000000000000,0.948242187500
0.815656565657,0.000000000000,0.947265625000
0.828282828283,0.000000000000,0.947265625000
0.840909090909,0.000000000000,0.947265625000
0.853535353535,0.000000000000,0.946289062500
0.866161616162,0.000000000000,0.946289062500
0.878787878788,0.000000000000,0.946289062500
0.891414141414,0.000000000000,0.945312500000
0.904040404040,0.000000000000,0.945312500000
0.916666666667,0.000000000000,0.945312500000
0.929292929293,0.000000000000,0.945312500000
0.941919191919,0.000000000000,0.945312500000
0.954545454545,0.000000000000,0.945312500000
0.967171717172,0.000000000000,0.945312500000
0.979797979798,0.000000000000,0.946289062500
0.992424242424,0.000000000000,0.946289062500
1.005050505051,0.000000000000,0.946289062500
1.017676767677,0.000000000000,0.947265625000
1.030303030303,0.000000000000,0.947265625000
1.042929292929,0.000000000000,0.947265625000
1.055555555556,0.000000000000,0.948242187500
1.068181818182,0.000000000000,0.949218750000
1.080808080808,0.000000000000,0.949218750000
1.093434343434,0.000000000000,0.950195312500
1.106060606061,0.000000000000,0.951171875000
1.118686868687,0.000000000000,0.952148437500
1.131313131313,0.000000000000,0.953125000000
1.143939393939,0.000000000000,0.954101562500
1.156565656566,0.000000000000,0.955078125000
1.169191919192,0.000000000000,0.957031250000
1.181818181818,0.000000000000,0.958007812500
1.194444444444,0.000000000000,0.958984375000
1.207070707071,0.000000000000,0.960937500000
1.219696969697,0.000000000000,0.962890625000
1.232323232323,0.000000000000,0.963867187500
1.244949494949,0.000000000000,0.965820312500
1.257575757576,0.000000000000,0.967773437500
1.270202020202,0.000000000000,0.969726562500
1.282828282828,0.000000000000,0.971679687500
1.295454545455,0.000000000000,0.974609375000
1.308080808081,0.000000000000,0.976562500000
1.320707070707,0.000000000000,0.979492187500
1.333333333333,0.000000000000,0.981445312500
1.345959595960,0.000000000000,0.984375000000
1.358585858586,0.000000000000,0.987304687500
1.371212121212,0.000000000000,0.990234375000
1.383838383838,0.000000000000,0.994140625000
1.396464646465,0.000000000000,0.997070312500
0.500000000000,0.080808080808,0.960937500000
0.512626262626,0.080808080808,0.959960937500
0.525252525253,0.080808080808,0.958984375000
0.537878787879,0.080808080808,0.958007812500
0.550505050505,0.080808080808,0.957031250000
0.563131313131,0.080808080808,0.956054687500
0.575757575758,0.080808080808,0.955078125000
0.588383838384,0.080808080808,0.954101562500
0.601010101010,0.080808080808,0.953125000000
0.613636363636,0.080808080808,0.952148437500
0.626262626263,0.080808080808,0.951171875000
0.638888888889,0.080808080808,0.951171875000
0.651515151515,0.080808080808,0.950195312500
0.664141414141,0.080808080808,0.949218750000
0.676767676768,0.080808080808,0.948242187500
0.689393939394,0.080808080808,0.947265625000
0.702020202020,0.080808080808,0.946289062500
0.714646464646,0.080808080808,0.945312500000
0.727272727273,0.080808080808,0.944335937500
0.739898989899,0.080808080808,0.943359375000
0.752525252525,0.080808080808,0.942382812500
0.765151515152,0.080808080808,0.941406250000
0.777777777778,0.080808080808,0.940429687500
0.790404040404,0.080808080808,0.939453125000
0.803030303030,0.080808080808,0.938476562500
0.815656565657,0.080808080808,0.937500000000
0.828282828283,0.080808080808,0.936523437500
0.840909090909,0.080808080808,0.935546875000
0.853535353535,0.080808080808,0.934570312500
0.866161616162,0.080808080808,0.933593750000
0.878787878788,0.080808080808,0.932617187500
0.891414141414,0.080808080808,0.931640625000
0.904040404040,0.080808080808,0.930664062500
0.916666666667,0.080808080808,0.929687500000
0.929292929293,0.080808080808,0.928710937500
0.941919191919,0.080808080808,0.927734375000
0.954545454545,0.080808080808,0.926757812500
0.967171717172,0.080808080808,0.925781250000
0.979797979798,0.080808080808,0.924804687500
0.992424242424,0.080808080808,0.923828125000
1.005050505051,0.080808080808,0.922851562500
1.017676767677,0.080808080808,0.922851562500
1.030303030303,0.080808080808,0.921875000000
1.042929292929,0.080808080808,0.920898437500
1.055555555556,0.080808080808,0.919921875000
1.068181818182,0.080808080808,0.918945312500
1.080808080808,0.080808080808,0.917968750000
1.093434343434,0.080808080808,0.916992187500
1.106060606061,0.080808080808,0.916015625000
1.118686868687,0.080808080808,0.915039062500
1.131313131313,0.080808080808,0.914062500000
1.143939393939,0.080808080808,0.913085937500
1.156565656566,0.080808080808,0.912109375000
1.169191919192,0.080808080808,0.911132812500
1.181818181818,0.080808080808,0.910156250000
1.194444444444,0.080808080808,0.909179687500
1.207070707071,0.080808080808,0.908203125000
1.219696969697,0.080808080808,0.907226562500
1.232323232323,0.080808080808,0.907226562500
1.244949494949,0.080808080808,0.906250000000
1.257575757576,0.080808080808,0.906250000000
1.270202020202,0.080808080808,0.906250000000
1.282828282828,0.080808080808,0.907226562500
1.295454545455,0.080808080808,0.907226562500
1.308080808081,0.080808080808,0.908203125000
1.320707070707,0.080808080808,0.909179687500
1.333333333333,0.080808080808,0.910156250000
1.345959595960,0.080808080808,0.911132812500
1.358585858586,0.080808080808,0.912109375000
1.371212121212,0.080808080808,0.914062500000
1.383838383838,0.080808080808,0.916015625000
1.396464646465,0.080808080808,0.917968750000
1.409090909091,0.080808080808,0.919921875000
1.421717171717,0.080808080808,0.921875000000
1.434343434343,0.080808080808,0.924804687500
1.446969696970,0.080808080808,0.926757812500
1.459595959596,0.080808080808,0.929687500000
1.472222222222,0.080808080808,0.933593750000
1.484848484848,0.080808080808,0.936523437500
1.497474747475,0.080808080808,0.940429687500
1.510101010101,0.080808080808,0.944335937500
1.522727272727,0.080808080808,0.948242187500
1.535353535354,0.080808080808,0.953125000000
1.547979797980,0.080808080808,0.958007812500
1.560606060606,0.080808080808,0.962890625000
1.573232323232,0.080808080808,0.968750000000
1.585858585859,0.080808080808,0.974609375000
1.598484848485,0.080808080808,0.980468750000
1.611111111111,0.080808080808,0.987304687500
1.623737373737,0.080808080808,0.995117187500
0.500000000000,0.161616161616,0.960937500000
0.512626262626,0.161616161616,0.959960937500
0.525252525253,0.161616161616,0.958984375000
0.537878787879,0.161616161616,0.958007812500
0.550505050505,0.161616161616,0.957031250000
0.563131313131,0.161616161616,0.956054687500
0.575757575758,0.161616161616,0.955078125000
0.588383838384,0.161616161616,0.954101562500
0.601010101010,0.161616161616,0.954101562500
0.613636363636,0.161616161616,0.953125000000
0.626262626263,0.161616161616,0.952148437500
0.638888888889,0.161616161616,0.951171875000
0.651515151515,0.161616161616,0.950195312500
0.664141414141,0.161616161616,0.949218750000
0.676767676768,0.161616161616,0.948242187500
0.689393939394,0.161616161616,0.947265625000
0.702020202020,0.161616161616,0.946289062500
0.714646464646,0.161616161616,0.945312500000
0.727272727273,0.161616161616,0.944335937500
0.739898989899,0.161616161616,0.943359375000
0.752525252525,0.161616161616,0.942382812500
0.765151515152,0.161616161616,0.941406250000
0.777777777778,0.161616161616,0.940429687500
0.790404040404,0.161616161616,0.939453125000
0.803030303030,0.161616161616,0.938476562500
0.815656565657,0.161616161616,0.937500000000
0.828282828283,0.161616161616,0.936523437500
0.840909090909,0.161616161616,0.935546875000
0.853535353535,0.161616161616,0.934570312500
0.866161616162,0.161616161616,0.933593750000
0.878787878788,0.161616161616,0.932617187500
0.891414141414,0.161616161616,0.931640625000
0.904040404040,0.161616161616,0.930664062500
0.916666666667,0.161616161616,0.929687500000
0.929292929293,0.161616161616,0.928710937500
0.941919191919,0.161616161616,0.927734375000
0.954545454545,0.161616161616,0.926757812500
0.967171717172,0.161616161616,0.925781250000
0.979797979798,0.161616161616,0.925781250000
0.992424242424,0.161616161616,0.924804687500
1.005050505051,0.161616161616,0.923828125000
1.017676767677,0.161616161616,0.922851562500
1.030303030303,0.161616161616,0.921875000000
1.042929292929,0.161616161616,0.920898437500
1.055555555556,0.161616161616,0.919921875000
1.068181818182,0.161616161616,0.918945312500
1.080808080808,0.161616161616,0.917968750000
1.093434343434,0.161616161616,0.916992187500
1.106060606061,0.161616161616,0.916015625000
1.118686868687,0.161616161616,0.915039062500
1.131313131313,0.161616161616,0.914062500000
1.143939393939,0.161616161616,0.913085937500
1.156565656566,0.161616161616,0.912109375000
1.169191919192,0.161616161616,0.911132812500
1.181818181818,0.161616161616,0.910156250000
1.194444444444,0.161616161616,0.909179687500
1.207070707071,0.161616161616,0.909179687500
1.219696969697,0.161616161616,0.908203125000
1.232323232323,0.161616161616,0.907226562500
1.244949494949,0.161616161616,0.906250000000
1.257575757576,0.161616161616,0.905273437500
1.270202020202,0.161616161616,0.904296875000
1.282828282828,0.161616161616,0.903320312500
1.295454545455,0.161616161616,0.902343750000
1.308080808081,0.161616161616,0.901367187500
1.320707070707,0.161616161616,0.900390625000
1.333333333333,0.161616161616,0.899414062500
1.345959595960,0.161616161616,0.898437500000
1.358585858586,0.161616161616,0.897460937500
1.371212121212,0.161616161616,0.897460937500
1.383838383838,0.161616161616,0.896484375000
1.396464646465,0.161616161616,0.895507812500
1.409090909091,0.161616161616,0.894531250000
1.421717171717,0.161616161616,0.893554687500
1.434343434343,0.161616161616,0.892578125000
1.446969696970,0.161616161616,0.891601562500
1.459595959596,0.161616161616,0.890625000000
1.472222222222,0.161616161616,0.889648437500
1.484848484848,0.161616161616,0.888671875000
1.497474747475,0.161616161616,0.887695312500
1.510101010101,0.161616161616,0.886718750000
1.522727272727,0.161616161616,0.886718750000
1.535353535354,0.161616161616,0.887695312500
1.547979797980,0.161616161616,0.889648437500
1.560606060606,0.161616161616,0.892578125000
1.573232323232,0.161616161616,0.896484375000
1.585858585859,0.161616161616,0.901367187500
1.598484848485,0.161616161616,0.907226562500
1.611111111111,0.161616161616,0.914062500000
1.623737373737,0.161616161616,0.920898437500
1.636363636364,0.161616161616,0.929687500000
1.648989898990,0.161616161616,0.939453125000
1.661616161616,0.161616161616,0.950195312500
1.674242424242,0.161616161616,0.962890625000
1.686868686869,0.161616161616,0.977539062500
1.699494949495,0.161616161616,0.994140625000
0.500000000000,0.242424242424,0.960937500000
0.512626262626,0.242424242424,0.959960937500
0.525252525253,0.242424242424,0.958984375000
0.537878787879,0.242424242424,0.958007812500
0.550505050505,0.242424242424,0.957031250000
0.563131313131,0.242424242424,0.956054687500
0.575757575758,0.242424242424,0.956054687500
0.588383838384,0.242424242424,0.955078125000
0.601010101010,0.242424242424,0.954101562500
0.613636363636,0.242424242424,0.953125000000
0.626262626263,0.242424242424,0.952148437500
0.638888888889,0.242424242424,0.951171875000
0.651515151515,0.242424242424,0.950195312500
0.664141414141,0.242424242424,0.949218750000
0.676767676768,0.242424242424,0.948242187500
0.689393939394,0.242424242424,0.947265625000
0.702020202020,0.242424242424,0.946289062500
0.714646464646,0.242424242424,0.945312500000
0.727272727273,0.242424242424,0.944335937500
0.739898989899,0.242424242424,0.943359375000
0.752525252525,0.242424242424,0.942382812500
0.765151515152,0.242424242424,0.941406250000
0.777777777778,0.242424242424,0.940429687500
0.790404040404,0.242424242424,0.939453125000
0.803030303030,0.242424242424,0.938476562500
0.815656565657,0.242424242424,0.937500000000
0.828282828283,0.242424242424,0.936523437500
0.840909090909,0.242424242424,0.935546875000
0.853535353535,0.242424242424,0.934570312500
0.866161616162,0.242424242424,0.933593750000
0.878787878788,0.242424242424,0.932617187500
0.891414141414,0.242424242424,0.931640625000
0.904040404040,0.242424242424,0.930664062500
0.916666666667,0.242424242424,0.929687500000
0.929292929293,0.242424242424,0.928710937500
0.941919191919,0.242424242424,0.927734375000
