x,y
0.010000,-1.000000
0.045253,-1.000000
0.080505,-1.000000
0.115758,-1.000000
0.151010,-1.000000
0.186263,-1.000000
0.221515,-1.000000
0.256768,-1.000000
0.292020,-1.000000
0.327273,-1.000000
0.362525,-1.000000
0.397778,-1.000000
0.433030,-1.000000
0.468283,-1.000000
0.503535,-1.000000
0.538788,-1.000000
0.574040,-1.000000
0.609293,-1.000000
0.644545,-1.000000
0.679798,-1.000000
0.715051,-1.000000
0.750303,-1.000000
0.785556,-1.000000
0.820808,-1.000000
0.856061,-1.000000
0.891313,-1.000000
0.926566,-1.000000
0.961818,-1.000000
0.997071,-1.000000
1.032323,-1.000000
1.067576,-1.000000
1.102828,-1.000000
1.138081,-1.000000
1.173333,-1.000000
1.208586,-1.000000
1.243838,-1.000000
1.279091,-1.000000
1.314343,-1.000000
1.349596,-1.000000
1.384848,-1.000000
1.420101,-1.000000
1.455354,-1.000000
1.490606,-1.000000
1.525859,-1.000000
1.561111,-1.000000
1.596364,-1.000000
1.631616,-1.000000
1.666869,-1.000000
1.702121,-1.000000
1.737374,-1.000000
1.772626,-1.000000
1.807879,-1.000000
1.843131,-1.000000
1.878384,-1.000000
1.913636,-1.000000
1.948889,-1.000000
1.984141,-1.000000
0.010000,-0.979798
0.045253,-0.979798
0.080505,-0.979798
0.115758,-0.979798
0.151010,-0.979798
0.186263,-0.979798
0.221515,-0.979798
0.256768,-0.979798
0.292020,-0.979798
0.327273,-0.979798
0.362525,-0.979798
0.397778,-0.979798
0.433030,-0.979798
0.468283,-0.979798
0.503535,-0.979798
0.538788,-0.979798
0.574040,-0.979798
0.609293,-0.979798
0.644545,-0.979798
0.679798,-0.979798
0.715051,-0.979798
0.750303,-0.979798
0.785556,-0.979798
0.820808,-0.979798
0.856061,-0.979798
0.891313,-0.979798
0.926566,-0.979798
0.961818,-0.979798
0.997071,-0.979798
1.032323,-0.979798
1.067576,-0.979798
1.102828,-0.979798
1.138081,-0.979798
1.173333,-0.979798
1.208586,-0.979798
1.243838,-0.979798
1.279091,-0.979798
1.314343,-0.979798
1.349596,-0.979798
1.384848,-0.979798
1.420101,-0.979798
1.455354,-0.979798
1.490606,-0.979798
1.525859,-0.979798
1.561111,-0.979798
1.596364,-0.979798
1.631616,-0.979798
1.666869,-0.979798
1.702121,-0.979798
1.737374,-0.979798
1.772626,-0.979798
1.807879,-0.979798
1.843131,-0.979798
1.878384,-0.979798
1.913636,-0.979798
1.948889,-0.979798
1.984141,-0.979798
2.019394,-0.979798
0.010000,-0.959596
0.045253,-0.959596
0.080505,-0.959596
0.115758,-0.959596
0.151010,-0.959596
0.186263,-0.959596
0.221515,-0.959596
0.256768,-0.959596
0.292020,-0.959596
0.327273,-0.959596
0.362525,-0.959596
0.397778,-0.959596
0.433030,-0.959596
0.468283,-0.959596
0.503535,-0.959596
0.538788,-0.959596
0.574040,-0.959596
0.609293,-0.959596
0.644545,-0.959596
0.679798,-0.959596
0.715051,-0.959596
0.750303,-0.959596
0.785556,-0.959596
0.820808,-0.959596
0.856061,-0.959596
0.891313,-0.959596
0.926566,-0.959596
0.961818,-0.959596
0.997071,-0.959596
1.032323,-0.959596
1.067576,-0.959596
1.102828,-0.959596
1.138081,-0.959596
1.173333,-0.959596
1.208586,-0.959596
1.243838,-0.959596
1.279091,-0.959596
1.314343,-0.959596
1.349596,-0.959596
1.384848,-0.959596
1.420101,-0.959596
1.455354,-0.959596
1.490606,-0.959596
1.525859,-0.959596
1.561111,-0.959596
1.596364,-0.959596
1.631616,-0.959596
1.666869,-0.959596
1.702121,-0.959596
1.737374,-0.959596
1.772626,-0.959596
1.807879,-0.959596
1.843131,-0.959596
1.878384,-0.959596
1.913636,-0.959596
1.948889,-0.959596
1.984141,-0.959596
2.019394,-0.959596
0.010000,-0.939394
0.045253,-0.939394
0.080505,-0.939394
0.115758,-0.939394
0.151010,-0.939394
0.186263,-0.939394
0.221515,-0.939394
0.256768,-0.939394
0.292020,-0.939394
0.327273,-0.939394
0.362525,-0.939394
0.397778,-0.939394
0.433030,-0.939394
0.468283,-0.939394
0.503535,-0.939394
0.538788,-0.939394
0.574040,-0.939394
0.609293,-0.939394
0.644545,-0.939394
0.679798,-0.939394
0.715051,-0.939394
0.750303,-0.939394
0.785556,-0.939394
0.820808,-0.939394
0.856061,-0.939394
0.891313,-0.939394
0.926566,-0.939394
0.961818,-0.939394
0.997071,-0.939394
1.032323,-0.939394
1.067576,-0.939394
1.102828,-0.939394
1.138081,-0.939394
1.173333,-0.939394
1.208586,-0.939394
1.243838,-0.939394
1.279091,-0.939394
1.314343,-0.939394
1.349596,-0.939394
1.384848,-0.939394
1.420101,-0.939394
1.455354,-0.939394
1.490606,-0.939394
1.525859,-0.939394
1.561111,-0.939394
1.596364,-0.939394
1.631616,-0.939394
1.666869,-0.939394
1.702121,-0.939394
1.737374,-0.939394
1.772626,-0.939394
1.807879,-0.939394
1.843131,-0.939394
1.878384,-0.939394
1.913636,-0.939394
1.948889,-0.939394
1.984141,-0.939394
2.019394,-0.939394
2.054646,-0.939394
0.010000,-0.919192
0.045253,-0.919192
0.080505,-0.919192
0.115758,-0.919192
