gamma,delta,rho
0.310707070707,-0.777777777778,0.862478918562
0.333838383838,-0.777777777778,0.883947047568
0.356969696970,-0.777777777778,0.906886614859
0.380101010101,-0.777777777778,0.930605329972
0.403232323232,-0.777777777778,0.954989327455
0.426363636364,-0.777777777778,0.980007839390
0.010000000000,-0.757575757576,0.994329332835
0.033131313131,-0.757575757576,0.981378335727
0.056262626263,-0.757575757576,0.968649626628
0.079393939394,-0.757575757576,0.956138230896
0.102525252525,-0.757575757576,0.943841455150
0.125656565657,-0.757575757576,0.931757331307
0.148787878788,-0.757575757576,0.919881711824
0.171919191919,-0.757575757576,0.908211800584
0.195050505051,-0.757575757576,0.896744430062
0.218181818182,-0.757575757576,0.885476622265
0.241313131313,-0.757575757576,0.874405264377
0.264444444444,-0.757575757576,0.863527338886
0.287575757576,-0.757575757576,0.852839786795
0.310707070707,-0.757575757576,0.842339540708
0.333838383838,-0.757575757576,0.845822470297
0.356969696970,-0.757575757576,0.866053697916
0.380101010101,-0.757575757576,0.888561011815
0.403232323232,-0.757575757576,0.911978054678
0.426363636364,-0.757575757576,0.936105803687
0.449494949495,-0.757575757576,0.960889473687
0.472626262626,-0.757575757576,0.986311448744
0.010000000000,-0.737373737374,0.994263905270
0.033131313131,-0.737373737374,0.981162480952
0.056262626263,-0.737373737374,0.968289439324
0.079393939394,-0.737373737374,0.955636907461
0.102525252525,-0.737373737374,0.943203228640
0.125656565657,-0.737373737374,0.930984181352
0.148787878788,-0.737373737374,0.918980349089
0.171919191919,-0.737373737374,0.907184739132
0.195050505051,-0.737373737374,0.895595312104
0.218181818182,-0.737373737374,0.884209319163
0.241313131313,-0.737373737374,0.873023332170
0.264444444444,-0.737373737374,0.862034260310
0.287575757576,-0.737373737374,0.851239118921
0.310707070707,-0.737373737374,0.840634286404
0.333838383838,-0.737373737374,0.830218411013
0.356969696970,-0.737373737374,0.829993011442
0.380101010101,-0.737373737374,0.848368141389
0.403232323232,-0.737373737374,0.870322567711
0.426363636364,-0.737373737374,0.893390354932
0.449494949495,-0.737373737374,0.917235155978
0.472626262626,-0.737373737374,0.941766051502
0.495757575758,-0.737373737374,0.966951742096
0.518888888889,-0.737373737374,0.992781426758
0.010000000000,-0.717171717172,0.994196387041
0.033131313131,-0.717171717172,0.980943862877
0.056262626263,-0.717171717172,0.967920718569
0.079393939394,-0.717171717172,0.955123774474
0.102525252525,-0.717171717172,0.942549734936
0.125656565657,-0.717171717172,0.930195536594
0.148787878788,-0.717171717172,0.918057944597
0.171919191919,-0.717171717172,0.906133769073
0.195050505051,-0.717171717172,0.894419750899
0.218181818182,-0.717171717172,0.882912697271
0.241313131313,-0.717171717172,0.871609404185
0.264444444444,-0.717171717172,0.860506821228
0.287575757576,-0.717171717172,0.849601345590
0.310707070707,-0.717171717172,0.838891072218
0.333838383838,-0.717171717172,0.828371718570
0.356969696970,-0.717171717172,0.818040642705
0.380101010101,-0.717171717172,0.815045260504
0.403232323232,-0.717171717172,0.830985485804
0.426363636364,-0.717171717172,0.852213429226
0.449494949495,-0.717171717172,0.874869400604
0.472626262626,-0.717171717172,0.898397662446
0.495757575758,-0.717171717172,0.922653902163
0.518888888889,-0.717171717172,0.947587285385
0.542020202020,-0.717171717172,0.973178171460
0.565151515152,-0.717171717172,0.999419789868
0.010000000000,-0.696969696970,0.994127767649
0.033131313131,-0.696969696970,0.980719158605
0.056262626263,-0.696969696970,0.967543360535
0.079393939394,-0.696969696970,0.954598583777
0.102525252525,-0.696969696970,0.941880768094
0.125656565657,-0.696969696970,0.929386958554
0.148787878788,-0.696969696970,0.917113825189
0.171919191919,-0.696969696970,0.905058084762
0.195050505051,-0.696969696970,0.893216432321
0.218181818182,-0.696969696970,0.881585652303
0.241313131313,-0.696969696970,0.870162490555
0.264444444444,-0.696969696970,0.858943769324
0.287575757576,-0.696969696970,0.847926210721
0.310707070707,-0.696969696970,0.837106838706
0.333838383838,-0.696969696970,0.826482358410
0.356969696970,-0.696969696970,0.816049754203
0.380101010101,-0.696969696970,0.805805853441
0.403232323232,-0.696969696970,0.800848245621
0.426363636364,-0.696969696970,0.814032254880
0.449494949495,-0.696969696970,0.834285004989
0.472626262626,-0.696969696970,0.856447120576
0.495757575758,-0.696969696970,0.879616859312
0.518888888889,-0.696969696970,0.903571867542
0.542020202020,-0.696969696970,0.928233905678
0.565151515152,-0.696969696970,0.953571171188
0.588282828283,-0.696969696970,0.979570650845
0.010000000000,-0.676767676768,0.994057655335
0.033131313131,-0.676767676768,0.980488480443
0.056262626263,-0.676767676768,0.967157127570
0.079393939394,-0.676767676768,0.954060720426
0.102525252525,-0.676767676768,0.941195747541
0.125656565657,-0.676767676768,0.928558983142
0.148787878788,-0.676767676768,0.916147104930
0.171919191919,-0.676767676768,0.903956741095
0.195050505051,-0.676767676768,0.891984475807
