lambda,rho_autolyap,rho_theory
0.010000000000,0.991270305522,0.991270314465
0.030000000000,0.973932860420,0.973932866242
0.050000000000,0.956758056550,0.956758064516
0.070000000000,0.939746006567,0.939746013072
0.090000000000,0.922896814124,0.922896821192
0.110000000000,0.906210597851,0.906210604027
0.130000000000,0.889687476923,0.889687482993
0.150000000000,0.873327581638,0.873327586207
0.170000000000,0.857131045782,0.857131048951
0.190000000000,0.841098006807,0.841098014184
0.210000000000,0.825228629532,0.825228633094
0.230000000000,0.809523062811,0.809523065693
0.250000000000,0.793981478351,0.793981481481
0.270000000000,0.778604057175,0.778604060150
0.290000000000,0.763390989143,0.763390992366
0.310000000000,0.748342477559,0.748342480620
0.330000000000,0.733458737128,0.733458740157
0.350000000000,0.718739997538,0.718740000000
0.370000000000,0.704186501447,0.704186504065
0.390000000000,0.689798509967,0.689798512397
0.410000000000,0.675576299202,0.675576302521
0.430000000000,0.661520167429,0.661520170940
0.450000000000,0.647630431923,0.647630434783
0.470000000000,0.633907429763,0.633907433628
0.490000000000,0.620351528881,0.620351531532
0.510000000000,0.606963114813,0.606963119266
0.530000000000,0.593742613405,0.593742616822
0.550000000000,0.580690473446,0.580690476190
0.570000000000,0.567807181449,0.567807184466
0.590000000000,0.555093264184,0.555093267327
0.610000000000,0.542549289644,0.542549292929
0.630000000000,0.530175873088,0.530175876289
0.650000000000,0.517973680515,0.517973684211
0.670000000000,0.505943437109,0.505943440860
0.690000000000,0.494085930171,0.494085934066
0.710000000000,0.482402018853,0.482402022472
0.730000000000,0.470892639863,0.470892643678
0.750000000000,0.459558819539,0.459558823529
0.770000000000,0.448401682403,0.448401686747
0.790000000000,0.437422464854,0.437422469136
0.810000000000,0.426622527016,0.426622531646
0.830000000000,0.416003371443,0.416003376623
0.850000000000,0.405566661647,0.405566666667
0.870000000000,0.395314240867,0.395314246575
0.890000000000,0.385248163731,0.385248169014
0.910000000000,0.375370718946,0.375370724638
0.930000000000,0.365684472014,0.365684477612
0.950000000000,0.356192302024,0.356192307692
0.970000000000,0.346897455865,0.346897460317
0.990000000000,0.337803601808,0.337803606557
1.010000000000,0.328914911260,0.328914915254
1.030000000000,0.320236135723,0.320236140351
1.050000000000,0.311772722700,0.311772727273
1.070000000000,0.303530938805,0.303530943396
1.090000000000,0.295518034598,0.295518039216
1.110000000000,0.287742444190,0.287742448980
1.130000000000,0.280214037689,0.280214042553
1.150000000000,0.272944439327,0.272944444444
1.170000000000,0.265947436489,0.265947441860
1.190000000000,0.259239494801,0.259239512195
1.210000000000,0.252840507776,0.252840512821
1.230000000000,0.246774588430,0.246774594595
1.250000000000,0.241071422239,0.241071428571
1.270000000000,0.235767871673,0.235767878788
1.290000000000,0.230910314730,0.230910322581
1.310000000000,0.226557923549,0.226557931034
1.330000000000,0.222787401640,0.222787407407
1.350000000000,0.219699992798,0.219700000000
1.370000000000,0.217432167265,0.217432173913
1.390000000000,0.216172376183,0.216172380952
1.410000000000,0.216188416273,0.216188421053
1.430000000000,0.217874109996,0.217874117647
1.450000000000,0.221833325052,0.221833333333
1.470000000000,0.229041524696,0.229041538462
1.490000000000,0.241183628966,0.241183636364
1.510000000000,0.260099990954,0.260100000000
1.530000000000,0.280899994371,0.280900000000
1.550000000000,0.302499994577,0.302500000000
1.570000000000,0.324899995702,0.324900000000
1.590000000000,0.348099995404,0.348100000000
1.610000000000,0.372099995845,0.372100000000
1.630000000000,0.396899996501,0.396900000000
1.650000000000,0.422499995096,0.422500000000
1.670000000000,0.448899996234,0.448900000000
1.690000000000,0.476099996440,0.476100000000
1.710000000000,0.504099996266,0.504100000000
1.730000000000,0.532899996193,0.532900000000
1.750000000000,0.562499996398,0.562500000000
1.770000000000,0.592899995762,0.592900000000
1.790000000000,0.624099995360,0.624100000000
1.810000000000,0.656099994638,0.656100000000
1.830000000000,0.688899995203,0.688900000000
1.850000000000,0.722499995754,0.722500000000
1.870000000000,0.756899996810,0.756900000000
1.890000000000,0.792099996363,0.792100000000
1.910000000000,0.828099995903,0.828100000000
1.930000000000,0.864899995940,0.864900000000
1.950000000000,0.902499995330,0.902500000000
1.970000000000,0.940899994886,0.940900000000
1.990000000000,0.980099996319,0.980100000000
