gamma,delta,rho
0.678181818182,-0.777777777778,0.944651364254
0.710000000000,-0.777777777778,0.959233447297
0.741818181818,-0.777777777778,0.973727934062
0.773636363636,-0.777777777778,0.988133103993
0.010000000000,-0.757575757576,0.994321813807
0.041818181818,-0.757575757576,0.976375818253
0.073636363636,-0.757575757576,0.958605826180
0.105454545455,-0.757575757576,0.941041775296
0.137272727273,-0.757575757576,0.923683895376
0.169090909091,-0.757575757576,0.906544015139
0.200909090909,-0.757575757576,0.889638827831
0.232727272727,-0.757575757576,0.872993338209
0.264545454545,-0.757575757576,0.856647772410
0.296363636364,-0.757575757576,0.840673514129
0.328181818182,-0.757575757576,0.825217139311
0.360000000000,-0.757575757576,0.810667283934
0.391818181818,-0.757575757576,0.797688707710
0.423636363636,-0.757575757576,0.792644963914
0.455454545455,-0.757575757576,0.800006185514
0.487272727273,-0.757575757576,0.811497932177
0.519090909091,-0.757575757576,0.824290925892
0.550909090909,-0.757575757576,0.837564721573
0.582727272727,-0.757575757576,0.851025839221
0.614545454545,-0.757575757576,0.864547264119
0.646363636364,-0.757575757576,0.878065660251
0.678181818182,-0.757575757576,0.891541898192
0.710000000000,-0.757575757576,0.904956725439
0.741818181818,-0.757575757576,0.918299332124
0.773636363636,-0.757575757576,0.931563436518
0.805454545455,-0.757575757576,0.944745100704
0.837272727273,-0.757575757576,0.957841567462
0.869090909091,-0.757575757576,0.970851260411
0.900909090909,-0.757575757576,0.983773193861
0.932727272727,-0.757575757576,0.996606895573
0.010000000000,-0.737373737374,0.994255803541
0.041818181818,-0.737373737374,0.976101163870
0.073636363636,-0.737373737374,0.958137410353
0.105454545455,-0.737373737374,0.940380356479
0.137272727273,-0.737373737374,0.922832784912
0.169090909091,-0.737373737374,0.905503343380
0.200909090909,-0.737373737374,0.888403685313
0.232727272727,-0.737373737374,0.871550120510
0.264545454545,-0.737373737374,0.854966789505
0.296363636364,-0.737373737374,0.838691910242
0.328181818182,-0.737373737374,0.822791723325
0.360000000000,-0.737373737374,0.807396953126
0.391818181818,-0.737373737374,0.792829275570
0.423636363636,-0.737373737374,0.779702432817
0.455454545455,-0.737373737374,0.770844115942
0.487272727273,-0.737373737374,0.773560065762
0.519090909091,-0.737373737374,0.782161511598
0.550909090909,-0.737373737374,0.792921850107
0.582727272727,-0.737373737374,0.804545905208
0.614545454545,-0.737373737374,0.816547691420
0.646363636364,-0.737373737374,0.828716018008
0.678181818182,-0.737373737374,0.840946659316
0.710000000000,-0.737373737374,0.853181499728
0.741818181818,-0.737373737374,0.865382074949
0.773636363636,-0.737373737374,0.877529773265
0.805454545455,-0.737373737374,0.889613496322
0.837272727273,-0.737373737374,0.901626030872
0.869090909091,-0.737373737374,0.913562612026
0.900909090909,-0.737373737374,0.925420075535
0.932727272727,-0.737373737374,0.937196252868
0.964545454545,-0.737373737374,0.948889493942
0.996363636364,-0.737373737374,0.960500407805
1.028181818182,-0.737373737374,0.972026977718
1.060000000000,-0.737373737374,0.983469576921
1.091818181818,-0.737373737374,0.994828397060
0.010000000000,-0.717171717172,0.994188093846
0.041818181818,-0.717171717172,0.975821472456
0.073636363636,-0.717171717172,0.957659129574
0.105454545455,-0.717171717172,0.939706648347
0.137272727273,-0.717171717172,0.921968474387
0.169090909091,-0.717171717172,0.904451124370
0.200909090909,-0.717171717172,0.887163428249
0.232727272727,-0.717171717172,0.870116154897
0.264545454545,-0.717171717172,0.853324900535
0.296363636364,-0.717171717172,0.836812256611
0.328181818182,-0.717171717172,0.820613394435
0.360000000000,-0.717171717172,0.804787810020
0.391818181818,-0.717171717172,0.789448488969
0.423636363636,-0.717171717172,0.774853658980
0.455454545455,-0.717171717172,0.761596182895
0.487272727273,-0.717171717172,0.750726380837
0.519090909091,-0.717171717172,0.748613362011
0.550909090909,-0.717171717172,0.753820329669
0.582727272727,-0.717171717172,0.762209966859
0.614545454545,-0.717171717172,0.772000435689
0.646363636364,-0.717171717172,0.782449037113
0.678181818182,-0.717171717172,0.793222207560
0.710000000000,-0.717171717172,0.804154256004
0.741818181818,-0.717171717172,0.815155183444
0.773636363636,-0.717171717172,0.826166945510
0.805454545455,-0.717171717172,0.837154813204
0.837272727273,-0.717171717172,0.848100427686
0.869090909091,-0.717171717172,0.858991622343
0.900909090909,-0.717171717172,0.869820729734
0.932727272727,-0.717171717172,0.880581829000
0.964545454545,-0.717171717172,0.891271242291
0.996363636364,-0.717171717172,0.901886368025
1.028181818182,-0.717171717172,0.912425456445
1.060000000000,-0.717171717172,0.922887332268
1.091818181818,-0.717171717172,0.933271262394
1.123636363636,-0.717171717172,0.943576870870
1.155454545455,-0.717171717172,0.953804043814
1.187272727273,-0.717171717172,0.963952765726
1.219090909091,-0.717171717172,0.974023274195
1.250909090909,-0.717171717172,0.984015874404
1.282727272727,-0.717171717172,0.993931087103
0.010000000000,-0.696969696970,0.994118730647
0.041818181818,-0.696969696970,0.975538600234
0.073636363636,-0.696969696970,0.957170770865
0.105454545455,-0.696969696970,0.939019843939
0.137272727273,-0.696969696970,0.921089482021
0.169090909091,-0.696969696970,0.903384897879
0.200909090909,-0.696969696970,0.885912395250
0.232727272727,-0.696969696970,0.868679761770
0.264545454545,-0.696969696970,0.851697823518
0.296363636364,-0.696969696970,0.834980370478
0.328181818182,-0.696969696970,0.818548031152
0.360000000000,-0.696969696970,0.802432150348
0.391818181818,-0.696969696970,0.786684493952
0.423636363636,-0.696969696970,0.771399802337
0.455454545455,-0.696969696970,0.756780763143
0.487272727273,-0.696969696970,0.743358364993
0.519090909091,-0.696969696970,0.731676671458
0.550909090909,-0.696969696970,0.725393269765
0.582727272727,-0.696969696970,0.726915823016
0.614545454545,-0.696969696970,0.732588030494
0.646363636364,-0.696969696970,0.740309478581
0.678181818182,-0.696969696970,0.749066528540
0.710000000000,-0.696969696970,0.758369605841
0.741818181818,-0.696969696970,0.767968493248
0.773636363636,-0.696969696970,0.777726012287
0.805454545455,-0.696969696970,0.787558268644
0.837272727273,-0.696969696970,0.797408937360
0.869090909091,-0.696969696970,0.807248708836
0.900909090909,-0.696969696970,0.817058362067
0.932727272727,-0.696969696970,0.826824737655
0.964545454545,-0.696969696970,0.836538909481
0.996363636364,-0.696969696970,0.846194474456
1.028181818182,-0.696969696970,0.855787167593
1.060000000000,-0.696969696970,0.865313583662
1.091818181818,-0.696969696970,0.874771459377
1.123636363636,-0.696969696970,0.884159480920
1.155454545455,-0.696969696970,0.893476344547
1.187272727273,-0.696969696970,0.902721432119
1.219090909091,-0.696969696970,0.911894392249
1.250909090909,-0.696969696970,0.920995031338
1.282727272727,-0.696969696970,0.930023395968
1.314545454545,-0.696969696970,0.938979631085
1.346363636364,-0.696969696970,0.947864055634
1.378181818182,-0.696969696970,0.956676870343
1.410000000000,-0.696969696970,0.965418668352
1.441818181818,-0.696969696970,0.974089741237
1.473636363636,-0.696969696970,0.982690821596
1.505454545455,-0.696969696970,0.991222441663
1.537272727273,-0.696969696970,0.999685131010
0.010000000000,-0.676767676768,0.994047915534
0.041818181818,-0.676767676768,0.975248806176
0.073636363636,-0.676767676768,0.956671656849
0.105454545455,-0.676767676768,0.938319213689
0.137272727273,-0.676767676768,0.920194582462
0.169090909091,-0.676767676768,0.902302086286
0.200909090909,-0.676767676768,0.884646700720
0.232727272727,-0.676767676768,0.867234132457
0.264545454545,-0.676767676768,0.850071676659
0.296363636364,-0.676767676768,0.833168712970
0.328181818182,-0.676767676768,0.816537909025
0.360000000000,-0.676767676768,0.800197238966
0.391818181818,-0.676767676768,0.784173732508
0.423636363636,-0.676767676768,0.768510953025
0.455454545455,-0.676767676768,0.753285929271
0.487272727273,-0.676767676768,0.738654091630
0.519090909091,-0.676767676768,0.725007206970
0.550909090909,-0.676767676768,0.712950149895
0.582727272727,-0.676767676768,0.703888421865
0.614545454545,-0.676767676768,0.701706934367
0.646363636364,-0.676767676768,0.704433859763
0.678181818182,-0.676767676768,0.709849150154
0.710000000000,-0.676767676768,0.716745325393
0.741818181818,-0.676767676768,0.724472351214
0.773636363636,-0.676767676768,0.732678093367
0.805454545455,-0.676767676768,0.741164079229
0.837272727273,-0.676767676768,0.749808423222
0.869090909091,-0.676767676768,0.758529945611
0.900909090909,-0.676767676768,0.767283866083
0.932727272727,-0.676767676768,0.776040790595
0.964545454545,-0.676767676768,0.784780693097
0.996363636364,-0.676767676768,0.793489498551
1.028181818182,-0.676767676768,0.802157398292
1.060000000000,-0.676767676768,0.810777177416
1.091818181818,-0.676767676768,0.819343443960
1.123636363636,-0.676767676768,0.827852934532
1.155454545455,-0.676767676768,0.836302101609
1.187272727273,-0.676767676768,0.844689572659
1.219090909091,-0.676767676768,0.853013479869
1.250909090909,-0.676767676768,0.861272956652
1.282727272727,-0.676767676768,0.869467317796
1.314545454545,-0.676767676768,0.877596227452
1.346363636364,-0.676767676768,0.885659396532
1.378181818182,-0.676767676768,0.893656851727
1.410000000000,-0.676767676768,0.901588651852
1.441818181818,-0.676767676768,0.909455036668
1.473636363636,-0.676767676768,0.917256297094
1.505454545455,-0.676767676768,0.924992723519
1.537272727273,-0.676767676768,0.932664782836
1.569090909091,-0.676767676768,0.940273032532
1.600909090909,-0.676767676768,0.947817725766
1.632727272727,-0.676767676768,0.955299631031
1.664545454545,-0.676767676768,0.962719129167
1.696363636364,-0.676767676768,0.970076646015
1.728181818182,-0.676767676768,0.977373198840
1.760000000000,-0.676767676768,0.984609086065
1.791818181818,-0.676767676768,0.991784997289
1.823636363636,-0.676767676768,0.998901493162
0.010000000000,-0.656565656566,0.993975317928
0.041818181818,-0.656565656566,0.974952893828
0.073636363636,-0.656565656566,0.956161237566
0.105454545455,-0.656565656566,0.937604053699
0.137272727273,-0.656565656566,0.919282691971
0.169090909091,-0.656565656566,0.901201204536
0.200909090909,-0.656565656566,0.883363450544
0.232727272727,-0.656565656566,0.865773861121
0.264545454545,-0.656565656566,0.848437673967
0.296363636364,-0.656565656566,0.831361314340
0.328181818182,-0.656565656566,0.814552978840
0.360000000000,-0.656565656566,0.798023552954
0.391818181818,-0.656565656566,0.781788266305
0.423636363636,-0.656565656566,0.765869572610
0.455454545455,-0.656565656566,0.750302856807
0.487272727273,-0.656565656566,0.735148681678
0.519090909091,-0.656565656566,0.720523110650
0.550909090909,-0.656565656566,0.706691836225
0.582727272727,-0.656565656566,0.694303961101
0.614545454545,-0.656565656566,0.683835493851
0.646363636364,-0.656565656566,0.678227658428
0.678181818182,-0.656565656566,0.677982710550
0.710000000000,-0.656565656566,0.680938495324
0.741818181818,-0.656565656566,0.685813229406
0.773636363636,-0.656565656566,0.691842376909
0.805454545455,-0.656565656566,0.698574556652
0.837272727273,-0.656565656566,0.705741817253
0.869090909091,-0.656565656566,0.713170827308
0.900909090909,-0.656565656566,0.720754768933
0.932727272727,-0.656565656566,0.728429143787
0.964545454545,-0.656565656566,0.736150681507
0.996363636364,-0.656565656566,0.743890136480
1.028181818182,-0.656565656566,0.751626391087
1.060000000000,-0.656565656566,0.759344543098
1.091818181818,-0.656565656566,0.767033763496
1.123636363636,-0.656565656566,0.774686045442
1.155454545455,-0.656565656566,0.782295433805
1.187272727273,-0.656565656566,0.789857421063
1.219090909091,-0.656565656566,0.797368687510
1.250909090909,-0.656565656566,0.804826716259
1.282727272727,-0.656565656566,0.812229627921
1.314545454545,-0.656565656566,0.819576026451
1.346363636364,-0.656565656566,0.826864931707
1.378181818182,-0.656565656566,0.834095668002
1.410000000000,-0.656565656566,0.841267781325
1.441818181818,-0.656565656566,0.848381019605
1.473636363636,-0.656565656566,0.855435281407
1.505454545455,-0.656565656566,0.862430602311
1.537272727273,-0.656565656566,0.869367099039
1.569090909091,-0.656565656566,0.876244998337
1.600909090909,-0.656565656566,0.883064638875
1.632727272727,-0.656565656566,0.889826286246
1.664545454545,-0.656565656566,0.896530326396
1.696363636364,-0.656565656566,0.903177209153
1.728181818182,-0.656565656566,0.909767329723
1.760000000000,-0.656565656566,0.916301195213
1.791818181818,-0.656565656566,0.922779440939
1.823636363636,-0.656565656566,0.929202347059
1.855454545455,-0.656565656566,0.935570448562
1.887272727273,-0.656565656566,0.941884506013
