x,y
0.050000,-0.970000
0.050000,-0.950000
0.075859,-0.950000
0.050000,-0.930000
0.075859,-0.930000
0.101717,-0.930000
0.127576,-0.930000
0.050000,-0.910000
0.075859,-0.910000
0.101717,-0.910000
0.127576,-0.910000
0.153434,-0.910000
0.179293,-0.910000
0.050000,-0.890000
0.075859,-0.890000
0.101717,-0.890000
0.127576,-0.890000
0.153434,-0.890000
0.179293,-0.890000
0.205152,-0.890000
0.050000,-0.870000
0.075859,-0.870000
0.101717,-0.870000
0.127576,-0.870000
0.153434,-0.870000
0.179293,-0.870000
0.205152,-0.870000
0.231010,-0.870000
0.256869,-0.870000
0.050000,-0.850000
0.075859,-0.850000
0.101717,-0.850000
0.127576,-0.850000
0.153434,-0.850000
0.179293,-0.850000
0.205152,-0.850000
0.231010,-0.850000
0.256869,-0.850000
0.282727,-0.850000
0.050000,-0.830000
0.075859,-0.830000
0.101717,-0.830000
0.127576,-0.830000
0.153434,-0.830000
0.179293,-0.830000
0.205152,-0.830000
0.231010,-0.830000
0.256869,-0.830000
0.282727,-0.830000
0.308586,-0.830000
0.334444,-0.830000
0.050000,-0.810000
0.075859,-0.810000
0.101717,-0.810000
0.127576,-0.810000
0.153434,-0.810000
0.179293,-0.810000
0.205152,-0.810000
0.231010,-0.810000
0.256869,-0.810000
0.282727,-0.810000
0.308586,-0.810000
0.334444,-0.810000
0.360303,-0.810000
0.050000,-0.790000
0.075859,-0.790000
0.101717,-0.790000
0.127576,-0.790000
0.153434,-0.790000
0.179293,-0.790000
0.205152,-0.790000
0.231010,-0.790000
0.256869,-0.790000
0.282727,-0.790000
0.308586,-0.790000
0.334444,-0.790000
0.360303,-0.790000
0.386162,-0.790000
0.412020,-0.790000
0.050000,-0.770000
0.075859,-0.770000
0.101717,-0.770000
0.127576,-0.770000
0.153434,-0.770000
0.179293,-0.770000
0.205152,-0.770000
0.231010,-0.770000
0.256869,-0.770000
0.282727,-0.770000
0.308586,-0.770000
0.334444,-0.770000
0.360303,-0.770000
0.386162,-0.770000
0.412020,-0.770000
0.437879,-0.770000
0.050000,-0.750000
