l1,rho_autolyap,rho_davis_yin,rho_pedregosa_gidel
0.400000000000,0.249999940395,0.652777777778,0.500000000000
0.800000000000,0.249999974534,0.744897959184,0.500000000000
1.200000000000,0.249999972326,0.804687500000,0.500000000000
1.600000000000,0.249999986031,0.845679012346,0.500000000000
2.000000000000,0.277306098959,0.875000000000,0.500000000000
2.400000000000,0.315796047449,0.896694214876,0.545454545455
2.800000000000,0.353741338469,0.913194444444,0.583333333333
3.200000000000,0.389176552743,0.926035502959,0.615384615385
3.600000000000,0.421720137811,0.936224489796,0.642857142857
4.000000000000,0.451445076375,0.944444444444,0.666666666667
4.400000000000,0.478567264712,0.951171875000,0.687500000000
4.800000000000,0.503338485956,0.956747404844,0.705882352941
5.200000000000,0.526006171963,0.961419753086,0.722222222222
5.600000000000,0.546798159175,0.965373961219,0.736842105263
6.000000000000,0.565918789071,0.968750000000,0.750000000000
6.400000000000,0.583548657334,0.971655328798,0.761904761905
6.800000000000,0.599846303698,0.974173553719,0.772727272727
7.200000000000,0.614950514399,0.976370510397,0.782608695652
7.600000000000,0.628982795924,0.978298611111,0.791666666667
8.000000000000,0.642049759618,0.980000000000,0.800000000000
8.400000000000,0.654244877925,0.981508875740,0.807692307692
8.800000000000,0.665650487029,0.982853223594,0.814814814815
9.200000000000,0.676339101617,0.984056122449,0.821428571429
9.600000000000,0.686375086320,0.985136741974,0.827586206897
10.000000000000,0.695815299056,0.986111111111,0.833333333333
10.400000000000,0.704710463590,0.986992715921,0.838709677419
10.800000000000,0.713105770653,0.987792968750,0.843750000000
11.200000000000,0.721041674551,0.988521579431,0.848484848485
11.600000000000,0.728554412242,0.989186851211,0.852941176471
12.000000000000,0.735676639846,0.989795918367,0.857142857143
12.400000000000,0.742437623848,0.990354938272,0.861111111111
12.800000000000,0.748863981385,0.990869247626,0.864864864865
13.200000000000,0.754979729917,0.991343490305,0.868421052632
13.600000000000,0.760806628894,0.991781722551,0.871794871795
14.000000000000,0.766364570178,0.992187500000,0.875000000000
14.400000000000,0.771671578764,0.992563950030,0.878048780488
14.800000000000,0.776744191822,0.992913832200,0.880952380952
15.200000000000,0.781597479153,0.993239588967,0.883720930233
15.600000000000,0.786245293099,0.993543388430,0.886363636364
16.000000000000,0.790700355127,0.993827160494,0.888888888889
16.400000000000,0.794974318424,0.994092627599,0.891304347826
16.800000000000,0.799077990274,0.994341330919,0.893617021277
17.200000000000,0.803021248429,0.994574652778,0.895833333333
17.600000000000,0.806813291856,0.994793835902,0.897959183673
18.000000000000,0.810462673600,0.995000000000,0.900000000000
18.400000000000,0.813977174457,0.995194156094,0.901960784314
18.800000000000,0.817364207611,0.995377218935,0.903846153846
19.200000000000,0.820630487055,0.995550017800,0.905660377358
19.600000000000,0.823782318333,0.995713305898,0.907407407407
20.000000000000,0.826825643095,0.995867768595,0.909090909091
20.400000000000,0.829765934655,0.996014030612,0.910714285714
20.800000000000,0.832608301394,0.996152662358,0.912280701754
21.200000000000,0.835357606412,0.996284185493,0.913793103448
21.600000000000,0.838018253704,0.996409077851,0.915254237288
22.000000000000,0.840594487976,0.996527777778,0.916666666667
22.400000000000,0.843090244051,0.996640687987,0.918032786885
22.800000000000,0.845509231471,0.996748178980,0.919354838710
23.200000000000,0.847854940526,0.996850592089,0.920634920635
23.600000000000,0.850130634065,0.996948242188,0.921875000000
24.000000000000,0.852339402140,0.997041420118,0.923076923077
24.400000000000,0.854484130654,0.997130394858,0.924242424242
24.800000000000,0.856567576823,0.997215415460,0.925373134328
25.200000000000,0.858592285773,0.997296712803,0.926470588235
25.600000000000,0.860560775398,0.997374501155,0.927536231884
26.000000000000,0.862475277439,0.997448979592,0.928571428571
26.400000000000,0.864338002123,0.997520333267,0.929577464789
26.800000000000,0.866151020677,0.997588734568,0.930555555556
27.200000000000,0.867916309839,0.997654344155,0.931506849315
27.600000000000,0.869635688728,0.997717311907,0.932432432432
28.000000000000,0.871310947929,0.997777777778,0.933333333333
28.400000000000,0.872943848372,0.997835872576,0.934210526316
