gamma,rho_autolyap,rho_theory
0.005000000000,0.990024986373,0.990025000000
0.010000000000,0.980099984111,0.980100000000
0.015000000000,0.970224981897,0.970225000000
0.020000000000,0.960399983464,0.960400000000
0.025000000000,0.950624985447,0.950625000000
0.030000000000,0.940899988702,0.940900000000
0.035000000000,0.931224979468,0.931225000000
0.040000000000,0.921599973895,0.921600000000
0.045000000000,0.912024975098,0.912025000000
0.050000000000,0.902499978435,0.902500000000
0.055000000000,0.893024979290,0.893025000000
0.060000000000,0.883599979267,0.883600000000
0.065000000000,0.874224971188,0.874225000000
0.070000000000,0.864899964989,0.864900000000
0.075000000000,0.855624964155,0.855625000000
0.080000000000,0.846399965571,0.846400000000
0.085000000000,0.837224967297,0.837225000000
0.090000000000,0.828099976524,0.828100000000
0.095000000000,0.819024977500,0.819025000000
0.100000000000,0.809999966994,0.810000000000
0.105000000000,0.801024970265,0.801025000000
0.110000000000,0.792099974040,0.792100000000
0.115000000000,0.783224975851,0.783225000000
0.120000000000,0.774399979854,0.774400000000
0.125000000000,0.765624979541,0.765625000000
0.130000000000,0.756899982706,0.756900000000
0.135000000000,0.748224974473,0.748225000000
0.140000000000,0.739599987869,0.739600000000
0.145000000000,0.731024985660,0.731025000000
0.150000000000,0.722499985479,0.722500000000
0.155000000000,0.714024987218,0.714025000000
0.160000000000,0.705599987962,0.705600000000
0.165000000000,0.697224983429,0.697225000000
0.170000000000,0.688899986448,0.688900000000
0.175000000000,0.680624985649,0.680625000000
0.180000000000,0.672399985240,0.672400000000
0.185000000000,0.664224986104,0.664225000000
0.190000000000,0.656099980682,0.656100000000
0.195000000000,0.648024987430,0.648025000000
0.200000000000,0.639999978126,0.640000000000
0.205000000000,0.632024987619,0.632025000000
0.210000000000,0.624099989030,0.624100000000
0.215000000000,0.616224979167,0.616225000000
0.220000000000,0.608399987949,0.608400000000
0.225000000000,0.600624976243,0.600625000000
0.230000000000,0.592899976035,0.592900000000
0.235000000000,0.585224979573,0.585225000000
0.240000000000,0.577599977588,0.577600000000
0.245000000000,0.570024983148,0.570025000000
0.250000000000,0.562499976599,0.562500000000
0.255000000000,0.555024977992,0.555025000000
0.260000000000,0.547599979712,0.547600000000
0.265000000000,0.540224978492,0.540225000000
0.270000000000,0.532899979848,0.532900000000
0.275000000000,0.525624978075,0.525625000000
0.280000000000,0.518399983687,0.518400000000
0.285000000000,0.511224980276,0.511225000000
0.290000000000,0.504099982869,0.504100000000
0.295000000000,0.497024976919,0.497025000000
0.300000000000,0.489999980187,0.490000000000
0.305000000000,0.483024976200,0.483025000000
0.310000000000,0.476099981141,0.476100000000
0.315000000000,0.469224981081,0.469225000000
0.320000000000,0.462399989367,0.462400000000
0.325000000000,0.455624975257,0.455625000000
0.330000000000,0.448899976029,0.448900000000
0.335000000000,0.442224984901,0.442225000000
0.340000000000,0.435599989254,0.435600000000
0.345000000000,0.429024986403,0.429025000000
0.350000000000,0.422499986926,0.422500000000
0.355000000000,0.416024992017,0.416025000000
0.360000000000,0.409599993562,0.409600000000
0.365000000000,0.403224982183,0.403225000000
0.370000000000,0.396899989089,0.396900000000
0.375000000000,0.390624990921,0.390625000000
0.380000000000,0.384399993815,0.384400000000
0.385000000000,0.378224989227,0.378225000000
0.390000000000,0.372099977953,0.372100000000
0.395000000000,0.366024976882,0.366025000000
0.400000000000,0.359999992449,0.360000000000
0.405000000000,0.384399964556,0.384400000000
0.410000000000,0.409599961711,0.409600000000
0.415000000000,0.435599962294,0.435600000000
0.420000000000,0.462399945762,0.462400000000
0.425000000000,0.489999945297,0.490000000000
0.430000000000,0.518399942452,0.518400000000
0.435000000000,0.547599939638,0.547600000000
0.440000000000,0.577599942684,0.577600000000
0.445000000000,0.608399946243,0.608400000000
0.450000000000,0.639999940868,0.640000000000
0.455000000000,0.672399938103,0.672400000000
0.460000000000,0.705599947281,0.705600000000
0.465000000000,0.739599948749,0.739600000000
0.470000000000,0.774399952074,0.774400000000
0.475000000000,0.809999952469,0.810000000000
0.480000000000,0.846399950802,0.846400000000
0.485000000000,0.883599951865,0.883600000000
0.490000000000,0.921599958480,0.921600000000
0.495000000000,0.960399931298,0.960400000000
0.500000000000,0.999999964562,1.000000000000
