gamma,rho_autolyap,rho_theory
0.005000000000,0.990024970749,0.990025000000
0.010000000000,0.980099981652,0.980100000000
0.015000000000,0.970224971875,0.970225000000
0.020000000000,0.960399969888,0.960400000000
0.025000000000,0.950624968934,0.950625000000
0.030000000000,0.940899979513,0.940900000000
0.035000000000,0.931224976614,0.931225000000
0.040000000000,0.921599977651,0.921600000000
0.045000000000,0.912024972717,0.912025000000
0.050000000000,0.902499969918,0.902500000000
0.055000000000,0.893024977779,0.893025000000
0.060000000000,0.883599978558,0.883600000000
0.065000000000,0.874224974843,0.874225000000
0.070000000000,0.864899967638,0.864900000000
0.075000000000,0.855624976773,0.855625000000
0.080000000000,0.846399976109,0.846400000000
0.085000000000,0.837224979546,0.837225000000
0.090000000000,0.828099973500,0.828100000000
0.095000000000,0.819024980156,0.819025000000
0.100000000000,0.809999976191,0.810000000000
0.105000000000,0.801024981808,0.801025000000
0.110000000000,0.792099974829,0.792100000000
0.115000000000,0.783224975057,0.783225000000
0.120000000000,0.774399982771,0.774400000000
0.125000000000,0.765624979254,0.765625000000
0.130000000000,0.756899979322,0.756900000000
0.135000000000,0.748224974142,0.748225000000
0.140000000000,0.739599982319,0.739600000000
0.145000000000,0.731024976891,0.731025000000
0.150000000000,0.722499971562,0.722500000000
0.155000000000,0.714024976706,0.714025000000
0.160000000000,0.705599974579,0.705600000000
0.165000000000,0.697224982404,0.697225000000
0.170000000000,0.688899972461,0.688900000000
0.175000000000,0.680624957167,0.680625000000
0.180000000000,0.672399979770,0.672400000000
0.185000000000,0.664224974632,0.664225000000
0.190000000000,0.656099980902,0.656100000000
0.195000000000,0.648024971579,0.648025000000
0.200000000000,0.639999969155,0.640000000000
0.205000000000,0.632024978362,0.632025000000
0.210000000000,0.624099982230,0.624100000000
0.215000000000,0.616224977761,0.616225000000
0.220000000000,0.608399966697,0.608400000000
0.225000000000,0.600624977918,0.600625000000
0.230000000000,0.592899980028,0.592900000000
0.235000000000,0.585224971156,0.585225000000
0.240000000000,0.577599978523,0.577600000000
0.245000000000,0.570024979825,0.570025000000
0.250000000000,0.562499980224,0.562500000000
0.255000000000,0.555024974046,0.555025000000
0.260000000000,0.547599972210,0.547600000000
0.265000000000,0.540224978868,0.540225000000
0.270000000000,0.532899985091,0.532900000000
0.275000000000,0.525624978382,0.525625000000
0.280000000000,0.518399977094,0.518400000000
0.285000000000,0.511224973594,0.511225000000
0.290000000000,0.504099976970,0.504100000000
0.295000000000,0.497024969981,0.497025000000
0.300000000000,0.489999964832,0.490000000000
0.305000000000,0.483024970472,0.483025000000
0.310000000000,0.476099982045,0.476100000000
0.315000000000,0.469224974389,0.469225000000
0.320000000000,0.462399982739,0.462400000000
0.325000000000,0.455624967777,0.455625000000
0.330000000000,0.448899984369,0.448900000000
0.335000000000,0.442224978691,0.442225000000
0.340000000000,0.435599976944,0.435600000000
0.345000000000,0.429024979972,0.429025000000
0.350000000000,0.422499976094,0.422500000000
0.355000000000,0.416024968028,0.416025000000
0.360000000000,0.409599979612,0.409600000000
0.365000000000,0.403224978154,0.403225000000
0.370000000000,0.396899982474,0.396900000000
0.375000000000,0.390624985243,0.390625000000
0.380000000000,0.384399985120,0.384400000000
0.385000000000,0.378224984054,0.378225000000
0.390000000000,0.372099963774,0.372100000000
0.395000000000,0.366024980951,0.366025000000
0.400000000000,0.359999982633,0.360000000000
0.405000000000,0.384399963136,0.384400000000
0.410000000000,0.409599965003,0.409600000000
0.415000000000,0.435599952689,0.435600000000
0.420000000000,0.462399962670,0.462400000000
0.425000000000,0.489999958452,0.490000000000
0.430000000000,0.518399983645,0.518400000000
0.435000000000,0.547599953271,0.547600000000
0.440000000000,0.577599958141,0.577600000000
0.445000000000,0.608399953586,0.608400000000
0.450000000000,0.639999959677,0.640000000000
0.455000000000,0.672399953272,0.672400000000
0.460000000000,0.705599927983,0.705600000000
0.465000000000,0.739599936773,0.739600000000
0.470000000000,0.774399934916,0.774400000000
0.475000000000,0.809999923744,0.810000000000
0.480000000000,0.846399926079,0.846400000000
0.485000000000,0.883599921852,0.883600000000
0.490000000000,0.921599934855,0.921600000000
0.495000000000,0.960399936074,0.960400000000
0.500000000000,0.999999940704,1.000000000000
